cr286_balancingfr5id,cr286_end_date1,cr286_fr_balance,cr286_imbalance,importsequencenumber,cr286_negative_imbalance_settlement_price,cr286_positive_imbalance_settlement_price,cr286_start_date1,statuscode,statecode,cr286_system_trend,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,createdonbehalfby.azureactivedirectoryobjectid,createdby.azureactivedirectoryobjectid,modifiedonbehalfby.azureactivedirectoryobjectid,modifiedby.azureactivedirectoryobjectid
75cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 8:00:00 PM,6528,,,7092,6416,1/2/2021 7:30:00 PM,Active,Active,HAUSSE,4,,4547672,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
23be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 8:30:00 PM,6527,,,7072,6398,1/2/2021 8:00:00 PM,Active,Active,HAUSSE,4,,4547671,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
24be44f6-fba0-eb11-b1ac-000d3abf81e0,1/2/2021 9:00:00 PM,6526,,,6364,5758,1/2/2021 8:30:00 PM,Active,Active,HAUSSE,4,,4547670,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
73cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 10:00:00 PM,6525,,,6579,5953,1/2/2021 9:30:00 PM,Active,Active,HAUSSE,4,,4547669,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
74cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 9:30:00 PM,6524,,,6398,5788,1/2/2021 9:00:00 PM,Active,Active,HAUSSE,4,,4547668,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
70cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 10:30:00 PM,6523,,,7453,6743,1/2/2021 10:00:00 PM,Active,Active,HAUSSE,4,,4547667,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
6fcb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 11:00:00 PM,6522,,,7187,6503,1/2/2021 10:30:00 PM,Active,Active,HAUSSE,4,,4547666,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
6ecb71f4-fba0-eb11-b1ac-000d3abf81b4,1/2/2021 11:30:00 PM,6521,,,7367,6665,1/2/2021 11:00:00 PM,Active,Active,HAUSSE,4,,4547665,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
6dcb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 12:00:00 AM,6520,,,5733,5187,1/2/2021 11:30:00 PM,Active,Active,BAISSE,4,,4547664,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
22be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 12:30:00 AM,6519,,,4486,4058,1/3/2021 12:00:00 AM,Active,Active,BAISSE,4,,4547663,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
